a,b,label,score
63__M_Left_index_2.BMP,63__M_Left_index_3.BMP,genuine,24.0
63__M_Left_little_1.BMP,63__M_Left_little_2.BMP,genuine,16.0
63__M_Left_little_1.BMP,63__M_Left_little_3.BMP,genuine,84.0
63__M_Left_little_2.BMP,63__M_Left_little_3.BMP,genuine,18.0
63__M_Left_middle_1.BMP,63__M_Left_middle_2.BMP,genuine,46.0
63__M_Left_middle_1.BMP,63__M_Left_middle_3.BMP,genuine,46.0
63__M_Left_middle_2.BMP,63__M_Left_middle_3.BMP,genuine,60.0
63__M_Left_ring_1.BMP,63__M_Left_ring_2.BMP,genuine,58.0
63__M_Left_ring_1.BMP,63__M_Left_ring_3.BMP,genuine,40.0
63__M_Left_ring_2.BMP,63__M_Left_ring_3.BMP,genuine,34.0
63__M_Left_thumb_1.BMP,63__M_Left_thumb_2.BMP,genuine,14.0
63__M_Left_thumb_1.BMP,63__M_Left_thumb_3.BMP,genuine,64.0
63__M_Left_thumb_2.BMP,63__M_Left_thumb_3.BMP,genuine,28.0
63__M_Right_index_1.BMP,63__M_Right_index_2.BMP,genuine,36.0
63__M_Right_index_1.BMP,63__M_Right_index_3.BMP,genuine,16.0
63__M_Right_index_2.BMP,63__M_Right_index_3.BMP,genuine,20.0
63__M_Right_little_1.BMP,63__M_Right_little_2.BMP,genuine,16.0
63__M_Right_little_1.BMP,63__M_Right_little_3.BMP,genuine,20.0
63__M_Right_little_2.BMP,63__M_Right_little_3.BMP,genuine,24.0
63__M_Right_middle_1.BMP,63__M_Right_middle_2.BMP,genuine,44.0
63__M_Right_middle_1.BMP,63__M_Right_middle_3.BMP,genuine,22.0
63__M_Right_middle_2.BMP,63__M_Right_middle_3.BMP,genuine,18.0
63__M_Right_ring_1.BMP,63__M_Right_ring_2.BMP,genuine,20.0
63__M_Right_ring_1.BMP,63__M_Right_ring_3.BMP,genuine,22.0
63__M_Right_ring_2.BMP,63__M_Right_ring_3.BMP,genuine,38.0
63__M_Right_thumb_1.BMP,63__M_Right_thumb_2.BMP,genuine,12.0
63__M_Right_thumb_1.BMP,63__M_Right_thumb_3.BMP,genuine,34.0
63__M_Right_thumb_2.BMP,63__M_Right_thumb_3.BMP,genuine,14.0
64__M_Left_index_1.BMP,64__M_Left_index_2.BMP,genuine,26.0
64__M_Left_index_1.BMP,64__M_Left_index_3.BMP,genuine,62.0
64__M_Left_index_2.BMP,64__M_Left_index_3.BMP,genuine,30.0
64__M_Left_little_1.BMP,64__M_Left_little_2.BMP,genuine,40.0
64__M_Left_little_1.BMP,64__M_Left_little_3.BMP,genuine,76.0
64__M_Left_little_2.BMP,64__M_Left_little_3.BMP,genuine,32.0
64__M_Left_middle_1.BMP,64__M_Left_middle_2.BMP,genuine,14.0
64__M_Left_middle_1.BMP,64__M_Left_middle_3.BMP,genuine,68.0
64__M_Left_middle_2.BMP,64__M_Left_middle_3.BMP,genuine,12.0
64__M_Left_ring_1.BMP,64__M_Left_ring_2.BMP,genuine,42.0
64__M_Left_ring_1.BMP,64__M_Left_ring_3.BMP,genuine,68.0
64__M_Left_ring_2.BMP,64__M_Left_ring_3.BMP,genuine,18.0
64__M_Left_thumb_1.BMP,64__M_Left_thumb_2.BMP,genuine,24.0
64__M_Left_thumb_1.BMP,64__M_Left_thumb_3.BMP,genuine,20.0
64__M_Left_thumb_2.BMP,64__M_Left_thumb_3.BMP,genuine,20.0
64__M_Right_index_1.BMP,64__M_Right_index_2.BMP,genuine,72.0
64__M_Right_index_1.BMP,64__M_Right_index_3.BMP,genuine,32.0
64__M_Right_index_2.BMP,64__M_Right_index_3.BMP,genuine,64.0
64__M_Right_little_1.BMP,64__M_Right_little_2.BMP,genuine,34.0
64__M_Right_little_1.BMP,64__M_Right_little_3.BMP,genuine,60.0
64__M_Right_little_2.BMP,64__M_Right_little_3.BMP,genuine,32.0
64__M_Right_middle_1.BMP,64__M_Right_middle_2.BMP,genuine,8.0
64__M_Right_middle_1.BMP,64__M_Right_middle_3.BMP,genuine,86.0
64__M_Right_middle_2.BMP,64__M_Right_middle_3.BMP,genuine,20.0
64__M_Right_ring_1.BMP,64__M_Right_ring_2.BMP,genuine,18.0
64__M_Right_ring_1.BMP,64__M_Right_ring_3.BMP,genuine,14.0
64__M_Right_ring_2.BMP,64__M_Right_ring_3.BMP,genuine,18.0
64__M_Right_thumb_1.BMP,64__M_Right_thumb_2.BMP,genuine,22.0
64__M_Right_thumb_1.BMP,64__M_Right_thumb_3.BMP,genuine,92.0
64__M_Right_thumb_2.BMP,64__M_Right_thumb_3.BMP,genuine,22.0
65__M_Left_index_1.BMP,65__M_Left_index_2.BMP,genuine,12.0
65__M_Left_index_1.BMP,65__M_Left_index_3.BMP,genuine,78.0
65__M_Left_index_2.BMP,65__M_Left_index_3.BMP,genuine,8.0
65__M_Left_little_1.BMP,65__M_Left_little_2.BMP,genuine,20.0
65__M_Left_little_1.BMP,65__M_Left_little_3.BMP,genuine,18.0
65__M_Left_little_2.BMP,65__M_Left_little_3.BMP,genuine,14.0
65__M_Left_middle_1.BMP,65__M_Left_middle_2.BMP,genuine,68.0
65__M_Left_middle_1.BMP,65__M_Left_middle_3.BMP,genuine,14.0
65__M_Left_middle_2.BMP,65__M_Left_middle_3.BMP,genuine,10.0
65__M_Left_ring_1.BMP,65__M_Left_ring_2.BMP,genuine,8.0
65__M_Left_ring_1.BMP,65__M_Left_ring_3.BMP,genuine,60.0
65__M_Left_ring_2.BMP,65__M_Left_ring_3.BMP,genuine,8.0
65__M_Left_thumb_1.BMP,65__M_Left_thumb_2.BMP,genuine,16.0
65__M_Left_thumb_1.BMP,65__M_Left_thumb_3.BMP,genuine,84.0
65__M_Left_thumb_2.BMP,65__M_Left_thumb_3.BMP,genuine,16.0
65__M_Right_index_1.BMP,65__M_Right_index_2.BMP,genuine,10.0
65__M_Right_index_1.BMP,65__M_Right_index_3.BMP,genuine,92.0
65__M_Right_index_2.BMP,65__M_Right_index_3.BMP,genuine,10.0
65__M_Right_little_1.BMP,65__M_Right_little_2.BMP,genuine,32.0
65__M_Right_little_1.BMP,65__M_Right_little_3.BMP,genuine,10.0
65__M_Right_little_2.BMP,65__M_Right_little_3.BMP,genuine,20.0
65__M_Right_middle_1.BMP,65__M_Right_middle_2.BMP,genuine,20.0
65__M_Right_middle_1.BMP,65__M_Right_middle_3.BMP,genuine,24.0
65__M_Right_middle_2.BMP,65__M_Right_middle_3.BMP,genuine,14.0
65__M_Right_ring_1.BMP,65__M_Right_ring_2.BMP,genuine,12.0
65__M_Right_ring_1.BMP,65__M_Right_ring_3.BMP,genuine,60.0
65__M_Right_ring_2.BMP,65__M_Right_ring_3.BMP,genuine,10.0
65__M_Right_thumb_1.BMP,65__M_Right_thumb_2.BMP,genuine,64.0
65__M_Right_thumb_1.BMP,65__M_Right_thumb_3.BMP,genuine,66.0
65__M_Right_thumb_2.BMP,65__M_Right_thumb_3.BMP,genuine,74.0
66__F_Left_index_1.BMP,66__F_Left_index_2.BMP,genuine,16.0
66__F_Left_index_1.BMP,66__F_Left_index_3.BMP,genuine,28.0
66__F_Left_index_2.BMP,66__F_Left_index_3.BMP,genuine,14.0
66__F_Left_little_1.BMP,66__F_Left_little_2.BMP,genuine,68.0
66__F_Left_little_1.BMP,66__F_Left_little_3.BMP,genuine,44.0
66__F_Left_little_2.BMP,66__F_Left_little_3.BMP,genuine,60.0
66__F_Left_middle_1.BMP,66__F_Left_middle_2.BMP,genuine,44.0
66__F_Left_middle_1.BMP,66__F_Left_middle_3.BMP,genuine,28.0
66__F_Left_middle_2.BMP,66__F_Left_middle_3.BMP,genuine,40.0
66__F_Left_ring_1.BMP,66__F_Left_ring_2.BMP,genuine,12.0
66__F_Left_ring_1.BMP,66__F_Left_ring_3.BMP,genuine,12.0
66__F_Left_ring_2.BMP,66__F_Left_ring_3.BMP,genuine,14.0
66__F_Left_thumb_1.BMP,66__F_Left_thumb_2.BMP,genuine,42.0
66__F_Left_thumb_1.BMP,66__F_Left_thumb_3.BMP,genuine,78.0
66__F_Left_thumb_2.BMP,66__F_Left_thumb_3.BMP,genuine,30.0
66__F_Right_index_1.BMP,66__F_Right_index_2.BMP,genuine,12.0
66__F_Right_index_1.BMP,66__F_Right_index_3.BMP,genuine,70.0
66__F_Right_index_2.BMP,66__F_Right_index_3.BMP,genuine,8.0
66__F_Right_little_1.BMP,66__F_Right_little_2.BMP,genuine,14.0
66__F_Right_little_1.BMP,66__F_Right_little_3.BMP,genuine,16.0
66__F_Right_little_2.BMP,66__F_Right_little_3.BMP,genuine,16.0
66__F_Right_middle_1.BMP,66__F_Right_middle_2.BMP,genuine,10.0
66__F_Right_middle_1.BMP,66__F_Right_middle_3.BMP,genuine,64.0
66__F_Right_middle_2.BMP,66__F_Right_middle_3.BMP,genuine,8.0
66__F_Right_ring_1.BMP,66__F_Right_ring_2.BMP,genuine,24.0
66__F_Right_ring_1.BMP,66__F_Right_ring_3.BMP,genuine,26.0
66__F_Right_ring_2.BMP,66__F_Right_ring_3.BMP,genuine,16.0
66__F_Right_thumb_1.BMP,66__F_Right_thumb_2.BMP,genuine,24.0
66__F_Right_thumb_1.BMP,66__F_Right_thumb_3.BMP,genuine,34.0
66__F_Right_thumb_2.BMP,66__F_Right_thumb_3.BMP,genuine,28.0
67__F_Left_index_1.BMP,67__F_Left_index_2.BMP,genuine,10.0
67__F_Left_index_1.BMP,67__F_Left_index_3.BMP,genuine,34.0
67__F_Left_index_2.BMP,67__F_Left_index_3.BMP,genuine,10.0
67__F_Left_little_1.BMP,67__F_Left_little_2.BMP,genuine,58.0
67__F_Left_little_1.BMP,67__F_Left_little_3.BMP,genuine,76.0
67__F_Left_little_2.BMP,67__F_Left_little_3.BMP,genuine,58.0
67__F_Left_middle_1.BMP,67__F_Left_middle_2.BMP,genuine,12.0
67__F_Left_middle_1.BMP,67__F_Left_middle_3.BMP,genuine,54.0
67__F_Left_middle_2.BMP,67__F_Left_middle_3.BMP,genuine,8.0
67__F_Left_ring_1.BMP,67__F_Left_ring_2.BMP,genuine,24.0
67__F_Left_ring_1.BMP,67__F_Left_ring_3.BMP,genuine,76.0
67__F_Left_ring_2.BMP,67__F_Left_ring_3.BMP,genuine,34.0
67__F_Left_thumb_1.BMP,67__F_Left_thumb_2.BMP,genuine,24.0
67__F_Left_thumb_1.BMP,67__F_Left_thumb_3.BMP,genuine,64.0
67__F_Left_thumb_2.BMP,67__F_Left_thumb_3.BMP,genuine,20.0
67__F_Right_index_1.BMP,67__F_Right_index_2.BMP,genuine,28.0
67__F_Right_index_1.BMP,67__F_Right_index_3.BMP,genuine,32.0
67__F_Right_index_2.BMP,67__F_Right_index_3.BMP,genuine,62.0
67__F_Right_little_1.BMP,67__F_Right_little_2.BMP,genuine,14.0
67__F_Right_little_1.BMP,67__F_Right_little_3.BMP,genuine,82.0
67__F_Right_little_2.BMP,67__F_Right_little_3.BMP,genuine,12.0
67__F_Right_middle_1.BMP,67__F_Right_middle_2.BMP,genuine,20.0
67__F_Right_middle_1.BMP,67__F_Right_middle_3.BMP,genuine,22.0
67__F_Right_middle_2.BMP,67__F_Right_middle_3.BMP,genuine,18.0
67__F_Right_ring_1.BMP,67__F_Right_ring_2.BMP,genuine,60.0
67__F_Right_ring_1.BMP,67__F_Right_ring_3.BMP,genuine,52.0
67__F_Right_ring_2.BMP,67__F_Right_ring_3.BMP,genuine,64.0
67__F_Right_thumb_1.BMP,67__F_Right_thumb_2.BMP,genuine,12.0
67__F_Right_thumb_1.BMP,67__F_Right_thumb_3.BMP,genuine,30.0
67__F_Right_thumb_2.BMP,67__F_Right_thumb_3.BMP,genuine,18.0
68__M_Left_index_1.BMP,68__M_Left_index_2.BMP,genuine,66.0
68__M_Left_index_1.BMP,68__M_Left_index_3.BMP,genuine,26.0
68__M_Left_index_2.BMP,68__M_Left_index_3.BMP,genuine,26.0
68__M_Left_little_1.BMP,68__M_Left_little_2.BMP,genuine,22.0
68__M_Left_little_1.BMP,68__M_Left_little_3.BMP,genuine,56.0
68__M_Left_little_2.BMP,68__M_Left_little_3.BMP,genuine,16.0
68__M_Left_middle_1.BMP,68__M_Left_middle_2.BMP,genuine,50.0
68__M_Left_middle_1.BMP,68__M_Left_middle_3.BMP,genuine,24.0
68__M_Left_middle_2.BMP,68__M_Left_middle_3.BMP,genuine,18.0
68__M_Left_ring_1.BMP,68__M_Left_ring_2.BMP,genuine,28.0
68__M_Left_ring_1.BMP,68__M_Left_ring_3.BMP,genuine,80.0
68__M_Left_ring_2.BMP,68__M_Left_ring_3.BMP,genuine,22.0
68__M_Left_thumb_1.BMP,68__M_Left_thumb_2.BMP,genuine,14.0
68__M_Left_thumb_1.BMP,68__M_Left_thumb_3.BMP,genuine,28.0
68__M_Left_thumb_2.BMP,68__M_Left_thumb_3.BMP,genuine,24.0
68__M_Right_index_1.BMP,68__M_Right_index_2.BMP,genuine,10.0
68__M_Right_index_1.BMP,68__M_Right_index_3.BMP,genuine,66.0
68__M_Right_index_2.BMP,68__M_Right_index_3.BMP,genuine,14.0
68__M_Right_little_1.BMP,68__M_Right_little_2.BMP,genuine,12.0
68__M_Right_little_1.BMP,68__M_Right_little_3.BMP,genuine,12.0
68__M_Right_little_2.BMP,68__M_Right_little_3.BMP,genuine,42.0
68__M_Right_middle_1.BMP,68__M_Right_middle_2.BMP,genuine,18.0
68__M_Right_middle_1.BMP,68__M_Right_middle_3.BMP,genuine,74.0
68__M_Right_middle_2.BMP,68__M_Right_middle_3.BMP,genuine,12.0
68__M_Right_ring_1.BMP,68__M_Right_ring_2.BMP,genuine,28.0
68__M_Right_ring_1.BMP,68__M_Right_ring_3.BMP,genuine,82.0
68__M_Right_ring_2.BMP,68__M_Right_ring_3.BMP,genuine,62.0
68__M_Right_thumb_1.BMP,68__M_Right_thumb_2.BMP,genuine,64.0
68__M_Right_thumb_1.BMP,68__M_Right_thumb_3.BMP,genuine,20.0
68__M_Right_thumb_2.BMP,68__M_Right_thumb_3.BMP,genuine,26.0
69__M_Left_index_1.BMP,69__M_Left_index_2.BMP,genuine,40.0
69__M_Left_index_1.BMP,69__M_Left_index_3.BMP,genuine,40.0
69__M_Left_index_2.BMP,69__M_Left_index_3.BMP,genuine,50.0
69__M_Left_little_1.BMP,69__M_Left_little_2.BMP,genuine,34.0
69__M_Left_little_1.BMP,69__M_Left_little_3.BMP,genuine,26.0
69__M_Left_little_2.BMP,69__M_Left_little_3.BMP,genuine,14.0
69__M_Left_middle_1.BMP,69__M_Left_middle_2.BMP,genuine,34.0
69__M_Left_middle_1.BMP,69__M_Left_middle_3.BMP,genuine,30.0
69__M_Left_middle_2.BMP,69__M_Left_middle_3.BMP,genuine,68.0
69__M_Left_ring_1.BMP,69__M_Left_ring_2.BMP,genuine,66.0
69__M_Left_ring_1.BMP,69__M_Left_ring_3.BMP,genuine,30.0
69__M_Left_ring_2.BMP,69__M_Left_ring_3.BMP,genuine,34.0
69__M_Left_thumb_1.BMP,69__M_Left_thumb_2.BMP,genuine,64.0
69__M_Left_thumb_1.BMP,69__M_Left_thumb_3.BMP,genuine,70.0
69__M_Left_thumb_2.BMP,69__M_Left_thumb_3.BMP,genuine,38.0
69__M_Right_index_1.BMP,69__M_Right_index_2.BMP,genuine,40.0
69__M_Right_index_1.BMP,69__M_Right_index_3.BMP,genuine,80.0
69__M_Right_index_2.BMP,69__M_Right_index_3.BMP,genuine,56.0
69__M_Right_little_1.BMP,69__M_Right_little_2.BMP,genuine,10.0
69__M_Right_little_1.BMP,69__M_Right_little_3.BMP,genuine,68.0
69__M_Right_little_2.BMP,69__M_Right_little_3.BMP,genuine,18.0
69__M_Right_middle_1.BMP,69__M_Right_middle_2.BMP,genuine,18.0
69__M_Right_middle_1.BMP,69__M_Right_middle_3.BMP,genuine,66.0
69__M_Right_middle_2.BMP,69__M_Right_middle_3.BMP,genuine,44.0
69__M_Right_ring_1.BMP,69__M_Right_ring_2.BMP,genuine,10.0
69__M_Right_ring_1.BMP,69__M_Right_ring_3.BMP,genuine,84.0
69__M_Right_ring_2.BMP,69__M_Right_ring_3.BMP,genuine,18.0
69__M_Right_thumb_1.BMP,69__M_Right_thumb_2.BMP,genuine,58.0
69__M_Right_thumb_1.BMP,69__M_Right_thumb_3.BMP,genuine,90.0
69__M_Right_thumb_2.BMP,69__M_Right_thumb_3.BMP,genuine,50.0
6__M_Left_index_1.BMP,6__M_Left_index_2.BMP,genuine,58.0
6__M_Left_index_1.BMP,6__M_Left_index_3.BMP,genuine,70.0
6__M_Left_index_2.BMP,6__M_Left_index_3.BMP,genuine,42.0
6__M_Left_little_1.BMP,6__M_Left_little_2.BMP,genuine,44.0
6__M_Left_little_1.BMP,6__M_Left_little_3.BMP,genuine,26.0
6__M_Left_little_2.BMP,6__M_Left_little_3.BMP,genuine,24.0
6__M_Left_middle_1.BMP,6__M_Left_middle_2.BMP,genuine,12.0
6__M_Left_middle_1.BMP,6__M_Left_middle_3.BMP,genuine,20.0
6__M_Left_middle_2.BMP,6__M_Left_middle_3.BMP,genuine,16.0
6__M_Left_ring_1.BMP,6__M_Left_ring_2.BMP,genuine,10.0
6__M_Left_ring_1.BMP,6__M_Left_ring_3.BMP,genuine,68.0
6__M_Left_ring_2.BMP,6__M_Left_ring_3.BMP,genuine,6.0
6__M_Left_thumb_1.BMP,6__M_Left_thumb_2.BMP,genuine,20.0
6__M_Left_thumb_1.BMP,6__M_Left_thumb_3.BMP,genuine,74.0
6__M_Left_thumb_2.BMP,6__M_Left_thumb_3.BMP,genuine,36.0
6__M_Right_index_1.BMP,6__M_Right_index_2.BMP,genuine,82.0
6__M_Right_index_1.BMP,6__M_Right_index_3.BMP,genuine,20.0
6__M_Right_index_2.BMP,6__M_Right_index_3.BMP,genuine,20.0
6__M_Right_little_1.BMP,6__M_Right_little_2.BMP,genuine,22.0
6__M_Right_little_1.BMP,6__M_Right_little_3.BMP,genuine,28.0
6__M_Right_little_2.BMP,6__M_Right_little_3.BMP,genuine,30.0
6__M_Right_middle_1.BMP,6__M_Right_middle_2.BMP,genuine,38.0
6__M_Right_middle_1.BMP,6__M_Right_middle_3.BMP,genuine,42.0
6__M_Right_middle_2.BMP,6__M_Right_middle_3.BMP,genuine,44.0
6__M_Right_ring_1.BMP,6__M_Right_ring_2.BMP,genuine,48.0
6__M_Right_ring_1.BMP,6__M_Right_ring_3.BMP,genuine,72.0
6__M_Right_ring_2.BMP,6__M_Right_ring_3.BMP,genuine,44.0
6__M_Right_thumb_1.BMP,6__M_Right_thumb_2.BMP,genuine,26.0
6__M_Right_thumb_1.BMP,6__M_Right_thumb_3.BMP,genuine,88.0
6__M_Right_thumb_2.BMP,6__M_Right_thumb_3.BMP,genuine,22.0
70__M_Left_index_1.BMP,70__M_Left_index_2.BMP,genuine,14.0
70__M_Left_index_1.BMP,70__M_Left_index_3.BMP,genuine,32.0
70__M_Left_index_2.BMP,70__M_Left_index_3.BMP,genuine,14.0
70__M_Left_little_1.BMP,70__M_Left_little_2.BMP,genuine,14.0
70__M_Left_little_1.BMP,70__M_Left_little_3.BMP,genuine,66.0
70__M_Left_little_2.BMP,70__M_Left_little_3.BMP,genuine,16.0
70__M_Left_middle_1.BMP,70__M_Left_middle_2.BMP,genuine,52.0
70__M_Left_middle_1.BMP,70__M_Left_middle_3.BMP,genuine,32.0
70__M_Left_middle_2.BMP,70__M_Left_middle_3.BMP,genuine,22.0
70__M_Left_ring_1.BMP,70__M_Left_ring_2.BMP,genuine,12.0
70__M_Left_ring_1.BMP,70__M_Left_ring_3.BMP,genuine,74.0
70__M_Left_ring_2.BMP,70__M_Left_ring_3.BMP,genuine,16.0
70__M_Left_thumb_1.BMP,70__M_Left_thumb_2.BMP,genuine,10.0
70__M_Left_thumb_1.BMP,70__M_Left_thumb_3.BMP,genuine,18.0
70__M_Left_thumb_2.BMP,70__M_Left_thumb_3.BMP,genuine,26.0
70__M_Right_index_1.BMP,70__M_Right_index_2.BMP,genuine,12.0
70__M_Right_index_1.BMP,70__M_Right_index_3.BMP,genuine,64.0
70__M_Right_index_2.BMP,70__M_Right_index_3.BMP,genuine,12.0
70__M_Right_little_1.BMP,70__M_Right_little_2.BMP,genuine,34.0
70__M_Right_little_1.BMP,70__M_Right_little_3.BMP,genuine,40.0
70__M_Right_little_2.BMP,70__M_Right_little_3.BMP,genuine,40.0
70__M_Right_middle_1.BMP,70__M_Right_middle_2.BMP,genuine,26.0
70__M_Right_middle_1.BMP,70__M_Right_middle_3.BMP,genuine,36.0
70__M_Right_middle_2.BMP,70__M_Right_middle_3.BMP,genuine,38.0
70__M_Right_ring_1.BMP,70__M_Right_ring_2.BMP,genuine,46.0
70__M_Right_ring_1.BMP,70__M_Right_ring_3.BMP,genuine,88.0
70__M_Right_ring_2.BMP,70__M_Right_ring_3.BMP,genuine,36.0
70__M_Right_thumb_1.BMP,70__M_Right_thumb_2.BMP,genuine,42.0
70__M_Right_thumb_1.BMP,70__M_Right_thumb_3.BMP,genuine,32.0
70__M_Right_thumb_2.BMP,70__M_Right_thumb_3.BMP,genuine,44.0
71__M_Left_index_1.BMP,71__M_Left_index_2.BMP,genuine,24.0
71__M_Left_index_1.BMP,71__M_Left_index_3.BMP,genuine,30.0
71__M_Left_index_2.BMP,71__M_Left_index_3.BMP,genuine,16.0
71__M_Left_little_1.BMP,71__M_Left_little_2.BMP,genuine,12.0
71__M_Left_little_1.BMP,71__M_Left_little_3.BMP,genuine,18.0
71__M_Left_little_2.BMP,71__M_Left_little_3.BMP,genuine,14.0
71__M_Left_middle_1.BMP,71__M_Left_middle_2.BMP,genuine,32.0
71__M_Left_middle_1.BMP,71__M_Left_middle_3.BMP,genuine,70.0
71__M_Left_middle_2.BMP,71__M_Left_middle_3.BMP,genuine,22.0
71__M_Left_ring_1.BMP,71__M_Left_ring_2.BMP,genuine,28.0
71__M_Left_ring_1.BMP,71__M_Left_ring_3.BMP,genuine,22.0
71__M_Left_ring_2.BMP,71__M_Left_ring_3.BMP,genuine,52.0
71__M_Left_thumb_1.BMP,71__M_Left_thumb_2.BMP,genuine,10.0
71__M_Left_thumb_1.BMP,71__M_Left_thumb_3.BMP,genuine,18.0
71__M_Left_thumb_2.BMP,71__M_Left_thumb_3.BMP,genuine,32.0
71__M_Right_index_1.BMP,71__M_Right_index_2.BMP,genuine,20.0
71__M_Right_index_1.BMP,71__M_Right_index_3.BMP,genuine,82.0
71__M_Right_index_2.BMP,71__M_Right_index_3.BMP,genuine,18.0
71__M_Right_little_1.BMP,71__M_Right_little_2.BMP,genuine,24.0
71__M_Right_little_1.BMP,71__M_Right_little_3.BMP,genuine,20.0
71__M_Right_little_2.BMP,71__M_Right_little_3.BMP,genuine,22.0
71__M_Right_middle_1.BMP,71__M_Right_middle_2.BMP,genuine,12.0
71__M_Right_middle_1.BMP,71__M_Right_middle_3.BMP,genuine,64.0
71__M_Right_middle_2.BMP,71__M_Right_middle_3.BMP,genuine,18.0
71__M_Right_ring_1.BMP,71__M_Right_ring_2.BMP,genuine,10.0
71__M_Right_ring_1.BMP,71__M_Right_ring_3.BMP,genuine,14.0
71__M_Right_ring_2.BMP,71__M_Right_ring_3.BMP,genuine,10.0
71__M_Right_thumb_1.BMP,71__M_Right_thumb_2.BMP,genuine,32.0
71__M_Right_thumb_1.BMP,71__M_Right_thumb_3.BMP,genuine,26.0
71__M_Right_thumb_2.BMP,71__M_Right_thumb_3.BMP,genuine,8.0
72__M_Left_index_1.BMP,72__M_Left_index_2.BMP,genuine,32.0
72__M_Left_index_1.BMP,72__M_Left_index_3.BMP,genuine,8.0
72__M_Left_index_2.BMP,72__M_Left_index_3.BMP,genuine,16.0
72__M_Left_little_1.BMP,72__M_Left_little_2.BMP,genuine,14.0
72__M_Left_little_1.BMP,72__M_Left_little_3.BMP,genuine,84.0
72__M_Left_little_2.BMP,72__M_Left_little_3.BMP,genuine,12.0
72__M_Left_middle_1.BMP,72__M_Left_middle_2.BMP,genuine,34.0
72__M_Left_middle_1.BMP,72__M_Left_middle_3.BMP,genuine,42.0
72__M_Left_middle_2.BMP,72__M_Left_middle_3.BMP,genuine,48.0
72__M_Left_ring_1.BMP,72__M_Left_ring_2.BMP,genuine,30.0
72__M_Left_ring_1.BMP,72__M_Left_ring_3.BMP,genuine,18.0
72__M_Left_ring_2.BMP,72__M_Left_ring_3.BMP,genuine,22.0
72__M_Left_thumb_1.BMP,72__M_Left_thumb_2.BMP,genuine,10.0
72__M_Left_thumb_1.BMP,72__M_Left_thumb_3.BMP,genuine,68.0
72__M_Left_thumb_2.BMP,72__M_Left_thumb_3.BMP,genuine,14.0
72__M_Right_index_1.BMP,72__M_Right_index_2.BMP,genuine,58.0
72__M_Right_index_1.BMP,72__M_Right_index_3.BMP,genuine,70.0
72__M_Right_index_2.BMP,72__M_Right_index_3.BMP,genuine,66.0
72__M_Right_little_1.BMP,72__M_Right_little_2.BMP,genuine,30.0
72__M_Right_little_1.BMP,72__M_Right_little_3.BMP,genuine,30.0
72__M_Right_little_2.BMP,72__M_Right_little_3.BMP,genuine,58.0
72__M_Right_middle_1.BMP,72__M_Right_middle_2.BMP,genuine,28.0
72__M_Right_middle_1.BMP,72__M_Right_middle_3.BMP,genuine,12.0
72__M_Right_middle_2.BMP,72__M_Right_middle_3.BMP,genuine,14.0
72__M_Right_ring_1.BMP,72__M_Right_ring_2.BMP,genuine,28.0
72__M_Right_ring_1.BMP,72__M_Right_ring_3.BMP,genuine,74.0
72__M_Right_ring_2.BMP,72__M_Right_ring_3.BMP,genuine,20.0
72__M_Right_thumb_1.BMP,72__M_Right_thumb_2.BMP,genuine,40.0
72__M_Right_thumb_1.BMP,72__M_Right_thumb_3.BMP,genuine,72.0
72__M_Right_thumb_2.BMP,72__M_Right_thumb_3.BMP,genuine,70.0
73__M_Left_index_1.BMP,73__M_Left_index_2.BMP,genuine,10.0
73__M_Left_index_1.BMP,73__M_Left_index_3.BMP,genuine,86.0
73__M_Left_index_2.BMP,73__M_Left_index_3.BMP,genuine,14.0
73__M_Left_little_1.BMP,73__M_Left_little_2.BMP,genuine,10.0
73__M_Left_little_1.BMP,73__M_Left_little_3.BMP,genuine,10.0
73__M_Left_little_2.BMP,73__M_Left_little_3.BMP,genuine,14.0
73__M_Left_middle_1.BMP,73__M_Left_middle_2.BMP,genuine,10.0
73__M_Left_middle_1.BMP,73__M_Left_middle_3.BMP,genuine,72.0
73__M_Left_middle_2.BMP,73__M_Left_middle_3.BMP,genuine,10.0
73__M_Left_ring_1.BMP,73__M_Left_ring_2.BMP,genuine,60.0
73__M_Left_ring_1.BMP,73__M_Left_ring_3.BMP,genuine,58.0
73__M_Left_ring_2.BMP,73__M_Left_ring_3.BMP,genuine,56.0
73__M_Left_thumb_1.BMP,73__M_Left_thumb_2.BMP,genuine,14.0
73__M_Left_thumb_1.BMP,73__M_Left_thumb_3.BMP,genuine,14.0
73__M_Left_thumb_2.BMP,73__M_Left_thumb_3.BMP,genuine,34.0
73__M_Right_index_1.BMP,73__M_Right_index_2.BMP,genuine,20.0
73__M_Right_index_1.BMP,73__M_Right_index_3.BMP,genuine,62.0
73__M_Right_index_2.BMP,73__M_Right_index_3.BMP,genuine,64.0
73__M_Right_little_1.BMP,73__M_Right_little_2.BMP,genuine,58.0
73__M_Right_little_1.BMP,73__M_Right_little_3.BMP,genuine,70.0
73__M_Right_little_2.BMP,73__M_Right_little_3.BMP,genuine,42.0
73__M_Right_middle_1.BMP,73__M_Right_middle_2.BMP,genuine,24.0
73__M_Right_middle_1.BMP,73__M_Right_middle_3.BMP,genuine,14.0
73__M_Right_middle_2.BMP,73__M_Right_middle_3.BMP,genuine,16.0
73__M_Right_ring_1.BMP,73__M_Right_ring_2.BMP,genuine,10.0
